gemma2,,,,,
,,,,,
Standard Deviation,,,,,
layers,modifiers,named_entities,numbers,negation,exception
10,0.013305,0.011578,0.010933,0.011627,0.012895
11,0.014723,0.010963,0.010436,0.01324,0.015233
12,0.010909,0.00886,0.008624,0.008666,0.010201
13,0.01297,0.009337,0.009113,0.009868,0.012623
14,0.013598,0.010758,0.010191,0.011313,0.013555
15,0.013796,0.011411,0.010978,0.012383,0.012568
16,0.014817,0.01289,0.012235,0.015143,0.014667
17,0.015645,0.012969,0.012215,0.013568,0.014544
18,0.012294,0.010724,0.010289,0.013061,0.011072
19,0.012042,0.009913,0.009154,0.007615,0.01013
20,0.009613,0.008972,0.008327,0.008009,0.008062
21,0.010682,0.00891,0.007949,0.010492,0.009017
22,0.0058,0.005814,0.005354,0.004797,0.004212
23,0.010661,0.010205,0.00948,0.011802,0.008133
24,0.007853,0.007772,0.007472,0.010325,0.006375
25,0.009571,0.007814,0.007487,0.009193,0.007771
26,0.005552,0.006347,0.005932,0.009928,0.004177
27,0.009955,0.008657,0.007905,0.009977,0.008424
28,0.008827,0.008525,0.008363,0.011471,0.007199
29,0.00856,0.00839,0.007708,0.012184,0.00664
30,0.007576,0.008255,0.007794,0.01289,0.005906
31,0.007712,0.007613,0.007494,0.017357,0.005704
32,0.021099,0.026733,0.024763,0.025945,0.019327
